,species,betweenness
1299,FAT SLEEPERS,31.426854597198385
1300,SALVELINUS MALMA,30.7
1301,AUSTROSIMULIUM AUSTRALENSE ,30.34532448858062
1302,DAPHNIA PULEX,30.151190476190475
1303,ASTERIAS,30.0
1304,BACTERIA - PROTOZOA - FUNGI,29.847672064777328
1305,GOPHER,29.566666666666666
1306,Z3A: E. PACIFICA (ADULT & JUVENILES) ,29.47735368239069
1307,MAORIDIEMESEA,29.438019053277213
1308,SMALL-SIZE APPENDICULARIA,29.357273559903277
1309,CARDINAL FISH,29.337500000000002
1310,GERRIDAE (ADULT),29.130022486448652
1311,GERRIDAE (LARVAE),29.130022486448652
1312,MICROGASTRINAE SP.5,29.0
1313,PSILOCHOREMA BIDENS,28.875
1314,LARGE-SIZE APPENDICULARIA,28.823940226569945
1315,LITOPENAEUS,28.80341763452628
1316,BOCCARDIA-ACUS,28.54538492609079
1317,SCORPION - SPIDERS,28.5
1318,CHRYSOBOTHRIS FEMORATA LARVAE,28.0
1319,SPIDERS (ERIGONE ARCTICA - ERIGONE PSYCHROPHILA - MEIONETA NIGRIPES - HALORATES SPETSBERGENSIS - HILAIRA GLACIALIS),28.0
1320,ROMALEUM ATOMARIUM LARVAE,27.642857142857142
1321,PAUCISPINIGERA APPROXIMATA (FREEMAN),27.074635495223724
1322,ONISCIGASTER SP.,27.03920757039615
1323,NEMATODE F,27.0
1324,PLNKF1E: ANCHOVY,26.38881625274868
1325,MEGALEPTOPERLA GRANDIS,26.374821858567987
1326,PSEUDOTOLITHUS,26.28571428571428
1327,HORNED LARK,26.281635031635023
1328,JUVENILE SPIDER,26.183333333333334
1329,ICE INVERTEBRATES,25.620836351797184
1330,PYCNOCENTRIA SP.,25.392552170497517
1331,ELACHERTUS SP.D,25.333333333333332
1332,SCHIZODON ALTOPARANAE,24.976159951159957
1333,EUBOTHRIUM SALVELINI ,24.972187395996894
1334,WHITE-TAILED JACKRABBIT,24.899999999999995
1335,POLYCENTROPUS,24.833333333333332
1336,ARIIDAE,24.666666666666664
1337,KUHLIA SANDVICENSIS,24.5
1338,RHYACOPHILA OBLITERATA,24.058823529411764
1339,HYDROPORUS,24.01464366505601
1340,BULL SNAKE - RED RACER - RATTLESNAKES,24.0
1341,DOGFISH (DEMERSAL SHARK),23.916666666666668
1342,LIODESSUS,23.840730621577748
1343,CHIPPING SPARROW - ROBIN - RED-BACKED JUNCO - BLUEBIRD,23.666666666666668
1344,MONOCHAMMUS TITILLATOR LARVAE,23.619047619047617
1345,SSPB3: MISC. EPIFAUNA (SUSPENSION FEEDERS),23.126720898521597
1346,INSECTS - PONTANIA PETIOLARIDIS - COLLEMBOLA,23.10255407998573
1347,PLNKF1D: HERRING,22.539133484773068
1348,ORTHOTYLUS VIRESCENS (DOUGLAS AND SCOTT),22.536904761904765
1349,SCIRTID SP. (BROAD TYPE),22.44177504199
1350,PLNKF2BII: CHINOOK YEARLING,22.148001993595532
1351,CRABEATER SEALS,22.0
1352,HUDSONEMA ALIENA,21.993550898984623
1353,HEMISORUBIN PLATYRHYNCHOS,21.933333333333334
1354,HELICOPSYCHE ALBESCENS ,21.893778556021353
1355,BLACK-TAILED JACKRABBIT,21.733333333333327
1356,ORTHOTYLUS CONCOLOR (KIRSCHBAUM),21.536904761904765
1357,ASCIODEMA OBSELETUM (FIEBER),21.511904761904763
1358,Z2F: LARGE JELLYFISH ,21.3413867361414
1359,HESIONID 1,21.159884064774623
1360,CHAOBORUS - ACILIUS,21.0
1361,HYDRACARINA - ODONATA - RANATRA - BELOSTOMA,21.0
1362,P. EXIMIA LARVAE,21.0
1363,SPRINGTAILS,21.0
1364,PYCNOCENTRIA SPP.,20.664804298989043
1365,DIPTERA ADULT,20.583333333333336
1366,LEPTODORA KINDTII,20.346969696969687
1367,ONCAEA,20.13333333333333
1368,SIALIS - ODO - MOLA - POLYCEN,20.125
1369,PHORADENDRON TOMENTOSUM,20.0
1370,MUSSELS,19.733333333333334
1371,OTHER HYMENOPTERA,19.57222222222222
1372,MOLLUSKS,19.520021645021643
1373,POTAMOPYRGUS ANTIPODARUM ,19.476866982672206
1374,FUNGI (RED ROT),19.333333333333336
1375,INSECTIVOROUS BIRDS (PURPLE SANDPIPER - SNOW BUNTING (JUV.)),19.0
1376,PHILANTHUS - ABAX - FERONIA,19.0
1377,CAPITELLID 1,18.774300768752028
1378,CAPITELLID 2,18.774300768752028
1379,EXOGONE 2,18.774300768752028
1380,EXOGONE-HETERO,18.774300768752028
1381,CORYNONEURA - PSYCHOMYIA,18.699999999999996
1382,PLNKF1C: SARDINE,18.682952671885094
1383,HYDROBIOSELLA STENOCERCA (TILLYARD),18.387110530060053
1384,T. AURATUS,18.352004752004753
1385,ALKMARIA ROMIJNI,18.26320656467715
1386,COPTOTOMUS,18.25901199320617
1387,ORTHOTYLUS ADENOCARPI (PERRIS),18.203571428571426
1388,DESMOPACHRIA,18.186756985734476
1389,PHAGOCATA GRACILIS,18.083333333333332
1390,FISH FRY,18.0
1391,PARASITOIDS (ACLASTUS BOREALIS - GELIS GLACIALIS),18.0
1392,PSEUDOECONESUS SP.,17.925604812847943
1393,PLAGIOSCION SQUAMOSISSIMUS,17.916666666666664
1394,PLNKF1A: SMELT AGGREGATE,17.886986134122886
1395,LIMPETS,17.833333333333332
1396,WEASEL,17.75
1397,PHILONEMA ONCORHYNCHI ,17.501156385319206
1398,RAVINIA L'HERMINIERI,17.083333333333332
1399,CHANIDS,17.011605419388406
1400,APROSTOCETUS SP.A,17.0
1401,ENALLAGMA ANNA,16.78333333333333
1402,Z1D: PTEROPODS,16.74068714881508
1403,PARAUCHENIPTERUS GALEATUS,16.626190476190473
1404,LITTORINA,16.5438884644767
1405,COLLEMBOLA (ISOTOMA ANGLICANA - HYPOGASTRURA VIATICA - SMINTHURIDES INAEQUALIS - FOLSOMIA QUADRIOCULATA - FOLSOMIA BISETOSA - SMINTHURINUS CONCOLOR - ONYCHIURUS GROENLANDICUS - CERATOPHYSELLA LONGISPINA),16.5
1406,UTA - HORNED LIZARD - GECKO,16.5
1407,ROUND HERRING,16.100992276634788
1408,L. CARCINOPHAGUS,16.00481645289691
1409,L. WEDDELLII/O. ROSSII,16.00481645289691
1410,GROUP 1,16.0
1411,CHLOROPERLA GRAMMATICA,15.880952380952381
1412,LEOPARD SEAL,15.849141302556754
1413,APSECTROTANYPUS SPP.,15.833333333333332
1414,A. GAZELLA,15.78259423067469
1415,Z2E: SMALL JELLYFISH ,15.777886804205831
1416,HYDROBIOSID SPP. ,15.75
1417,ACARTIA - OTHER COPEPODS,15.604238243168126
1418,ACYRTHOSIPHON SPARTII (KOCH),15.508333333333333
1419,ZOOPLANKTIVOROUS FISH,15.296295775817832
1420,CENTROPTILUM - STENONEMA - CHIMARRA - TIPULA SP. 1,15.0
1421,CRICOTOPUS BICINCTUS,15.0
1422,OITHONA,15.0
1423,BAETID NYMPHS,14.833333333333332
1424,FILTER-FEEDING - MINNOW-LIKE FISHES,14.67121212121212
1425,SITONA REGENSTEINENSIS HBST,14.5
1426,HALIPLUS SP. (ADULT),14.4805805576217
1427,HALIPLUS SP. (LARVAE),14.4805805576217
1428,PYCNOCENTRODES EVECTA ,14.453380546145512
1429,RIEKOPERLA RUGOSA (PISCES - GLOSSOMATIDAE),14.333333333333332
1430,LEPTONEMA,14.290909090909091
1431,GROUND SQUIRRELS,14.25
1432,SNAPPERS,14.094022644022642
1433,DEMERSAL FISH,14.038095238095238
1434,BACTERIA AND FUNGI ASSOCIATED WITH DETRITUS,14.0
1435,CRAGO,14.0
1436,LOWER CARNIVORES-VARIOUS FISH - COPEPODS - BLUE CRABS AND JUVENILE OF HIGH CARNIVORES,14.0
1437,PLECTROCNEMIA,13.999999999999998
1438,PSILACHOREMA,13.999999999999998
1439,TINTINNIDS,13.699999999999998
1440,PERGAMASUS SP.,13.619047619047615
1441,DENDROIDES BICOLOR LARVAE,13.5
1442,SIMULIUM ARGUS,13.483333333333333
1443,PLNKF1F: SAURY,13.352468783792505
1444,ACANTHINA,13.333333333333334
1445,OPIUS SP.6,13.266666666666666
1446,RIETHIA SP. (DIPTERA - CHIRONOMIDAE),13.014786967418548
1447,ADULT SPIDER,13.0
1448,BROWSERS AND GRAZERS (GASTROPODS - CRUSTACEA - ETC.),13.0
1449,NUCELLA LAPILLUS,13.0
1450,SSPB2: BIVALVES,12.899221457239358
1451,PHYTODECTA OLIVACEA (FORSTER),12.835714285714285
1452,HYDROPSYCHE OCCIDENTALIS,12.733333333333333
1453,CECIDOMYID LARVAE,12.726190476190471
1454,DOLICOPODID LARVAE,12.726190476190471
1455,PROSIMULIUM,12.641677766677766
1456,MESOPOLOBUS JUCUNDUS,12.564285714285713
1457,HYDORA NITIDA LARVA,12.45707297261975
1458,SEA MAMMALS,12.429093567251464
1459,WINTER MOTH,12.333333333333332
1460,SIMULIUM,12.280952380952384
1461,A. PANTANEIRO,12.254004329004324
1462,FUNGI ROTIFEROPHTHORA,12.199305555555556
1463,DETRITIVOROUS FISHES,12.183333333333334
1464,DETRITIVOROUS INVERTEBRATES,12.183333333333334
1465,OCEAN PERCH,12.166666666666668
1466,HABROCYTUS SEQUESTER (WALKER),12.166666666666666
1467,LEPTODIAPTOMUS SICILOIDES,12.026190476190475
1468,ANYSTIS BACCARUM L.,12.0
1469,P. CARLUKIANA,12.0
1470,PERLA CEPHALOTES,12.0
1471,SPIDERS - SOLPUGIDS - SCORPIONS,12.0
1472,TURTLES,12.0
1473,TANYTARSUS INEXTENSUS (DIPTERA - CHIRONOMIDAE),11.938596491228068
1474,WOOD RATS,11.75
1475,PLATYPUS FLAVICORNIS,11.666666666666668
1476,PROCLADIUS SAGITTALIS (KIEFFER),11.645609945609944
1477,POLYPHEMUS PEDICULUS,11.594482805836947
1478,ZELOLESSICA CHEIRA (MCFARLANE),11.594366197183097
1479,DUCKS (LESSER SCAUP),11.54761904761905
1480,FLYCATCHER,11.5
1481,RHEOTANYTARSUS,11.302351188238285
1482,HARVESTER ANTS,11.25
1483,"TOOTHED WHALES, DOLPHINS",11.22763843720058
1484,LUTJANIDS,11.166666666666664
1485,CARNIVOROUS PLANKTON,11.125
1486,H. MOROSA,11.083333333333332
1487,BIVALVES - NEMATODES - CUMACEANS - POLYCHAETES - SMALL CRUSTACEA - FISH,11.0
1488,CYCLOPS (COPEPOD),11.0
1489,SIALIS LUTARIA (L.),10.945609945609945
1490,ZAPADA,10.905566655566654
1491,PISCF5: DOGFISH AGGREGATE,10.817002677115616
1492,SNAKES - VARANIDS,10.75
1493,PAROXYETHIRA EATONI/HINTONI,10.698472720892042
1494,PARACALLIOPE PURPLE,10.666666666666668
1495,PHOEOPHTHORUS RHODODACTYLUS (MARSH.),10.666666666666666
1496,PLNKF2A: COHO YEARLING,10.53259730559166
1497,HUMMINGBIRDS,10.527777777777775
1498,LEBISTES RETICULATUS,10.5
1499,SMALL COCCAL ALGAE,10.466666666666669
1500,M. FASCIIVENTRIS,10.364285714285714
1501,S. GALLAE-POMIFORMIS,10.359175434175434
1502,CACTUS BEETLES - CACTUS WEEVILS,10.333333333333334
1503,SICYASES SANGUINEUS,10.293806193806192
1504,TUPIPERLA,10.166991744814325
1505,SPHAERODORUM,10.134291101139553
1506,TROPIDURUS (LIZARD),10.1
1507,CRYPTOSTIGMATIC MITES (CAMISIA ANOMIA - TECTOCEPHUS VELATUS - DIAPTEROBATES NOTATUS - MYCOBATES SARAKENSIS - HERMANNIA RETICULATA - CERATOPPIA HOELI - OPIELLA NEERLANDICA),10.0
1508,FLIES,10.0
1509,FLY LARVAE,10.0
1510,POLINICES - NASSARIUS,10.0
1511,PAUCISPINIGERA APPROXIMATA,9.99061462983597
1512,ARENICOLA MARINA,9.966666666666667
1513,VANELLUS,9.790501547286704
1514,LIGHTFISH,9.693062780176698
1515,RODENTS,9.666666666666666
1516,CUTWORMS - GRASSHOPPERS - CLICKBEETLES,9.665569561157795
1517,ENTOMOSTRACA - ROTIFERA - TARDIGRADA - OLIGOCHAETA - NEMATODA (FRESH WATER BOTTOM AND LITTORAL),9.65
1518,DIAMESA,9.64405871905872
1519,FUNGIVOROUS NEMATODA,9.642857142857142
1520,SB4: ALCIDS,9.58501400560224
1521,GAMMARUS SP. ,9.5
1522,TENUIPETIOLUS MEDICAGINUS,9.4
1523,THAMNOPHIS ATRATUS,9.176206113706115
1524,LITTORINA OBTUSATA,9.133333333333333
1525,FISSIDENS JULIAUS,9.083333333333334
1526,CRICKETS - GRASSHOPPERS - CATERPILLARS,9.083333333333332
1527,OREOGETON,9.062709512709512
1528,DILACHNUS PINI,9.0
1529,DIPOREIA,9.0
1530,LAEMOPHLOEUS ATER (OL.),9.0
1531,MARSH INSECTS,9.0
1532,PEROMYSCUS - MICROTUS,9.0
1533,TORYMUS C. CAPILLACEUS,8.75
1534,SAGE THRASHER - ROBIN,8.666666666666666
1535,HYDROPSYCHE SPARNA,8.583333333333332
1536,JUVF1: JUVENILE ROCKFISH,8.542302868372518
1537,SHORE BIRDS,8.541666666666668
1538,SIMULIUM LARVAE,8.533333333333333
1539,APHIS SARATHAMNI FRANSSEN,8.508333333333333
1540,ACANTHOCYCLOPS - MACROCYCLOPS - DEMICRYPTOCHIRONOMUS - MONODIAMEDA,8.5
1541,AGELENA LABYRINTHICA,8.5
1542,ANURIDA - ORCHESTIA - GAMMARUS,8.5
1543,CARCINIDES - CANCER,8.5
1544,LINYPHIA TRIANGULARIS,8.5
1545,LONGSPURS,8.5
1546,SPANIOCERCA ZELANDICA (TILLYARD),8.476190476190476
1547,RILEYA TEGULARIS,8.416666666666666
1548,MELAMPUS - LITTORINA LITTOREA - L. SAXATILIS,8.279863676666174
1549,LOBSTER,8.279819783566873
1550,"Z1AI: COPEPODS (LARGE, >= 0.025MG C)",8.244041494169371
1551,Z1B: SMALL INVERTEBRATE LARVAE,8.229295015867905
1552,WORMS,8.2
1553,CRICOTOPUS SP. III,8.167626418621781
1554,CRISTAPERLA FIMBRIAE,8.120573870573871
1555,NESOLASIOPTERA WILLISTONI (WOODY/SMOOTH STEM MAKER),8.083333333333334
1556,HYGROTUS,8.045740346152696
1557,KANGAROO RAT,8.033333333333331
1558,"Z1AII: COPEPODS (SMALL, < 0.025MG C)",8.024469172487075
1559,ECNOMUS RUSSELLIUS (TRICHOPTERA - ECNOMIDAE),8.0
1560,MIDDLE CARNIVORES-A VARIETY OF FISH AND WADING BIRDS,8.0
1561,PARAMERINA SP. (DIPTERA - CHIRONOMIDAE),8.0
1562,CEPHALOGONIMUS AMERICANUS (ADULT),7.953085320476623
1563,TETRASTICHUS SP. A,7.899999999999999
1564,MYTILUS SP.,7.887553100494276
1565,BNTHF5: FLATFISH (BENTHIC FEEDERS),7.884889526954731
1566,BRYCON ORBIGNYAMUS,7.8611111111111125
1567,OXYETHIRA ALBICEPS (MCLACHLAN),7.8440445219448325
1568,HETEROSQUILLA,7.834187462863932
1569,SWIFT,7.833333333333333
1570,ORTHOTOMICUS COELATUS,7.831349206349206
1571,ONISCOGASTER SP.,7.8149092868212175
1572,ASCAROPHIS,7.777986633249792
1573,CENTRARCHIDS,7.766666666666667
1574,LEUCOPTERA SPARTIFOLIELLA HUBNER,7.726190476190477
1575,PODONOMUS,7.654984298691394
1576,ISOTOMA SENSIBILIS,7.513492063492063
1577,BILLFISH,7.5
1578,CRABS - SHRIMPS - GOLD-SPOTTED KILLIFISH - CRESTED GOBY,7.5
1579,PARTRIDGE - PEAFOWL - BABBLER,7.5
1580,PARADIXA SP.,7.40952380952381
1581,COELOMOMYCES (FUNGI),7.2632275132275135
1582,M. TIBIALIS,7.166666666666666
1583,CRICOTOPUS SP. I (CRANSTON),7.012568817232333
1584,ANTHOMYIID FLY,7.0
1585,CYATHISSA PERCARA,7.0
1586,GAMMARUS - PALEOMONETES,7.0
1587,LIMNOPHILUS - EPHEMEROPTERAN NYMPH,7.0
1588,APION SPP.,6.999999999999999
1589,ARYTAINA GENISTAE LATREILLE,6.9678571428571425
1590,PISCF4: PISCIVOROUS ROCKFISH,6.9373095321145435
1591,SMALL BENTHOPELAGIC FISHES,6.807377344877344
1592,BURROWING OWL,6.79521312021312
1593,HALIPEGUS SP. (ADULT),6.6319014319014356
1594,SCIRTID SP. (LARVAE) BROAD TYPE.,6.589898989898989
1595,BULLFINCH,6.561111111111113
1596,ECCLISIOMYIA,6.503113553113551
1597,APHID (ACYRTHOSIPHON SVALBARDICUM),6.5
1598,TRIPTEROIDES (2 SPP.),6.5
1599,TUBERCULOIDES ANNULATUS,6.5
1600,SMALL CILIATES (BACTERIVORE),6.466666666666667
1601,SIMULIUM LARVAE (BLACK FLY),6.428571428571429
1602,ORTHOCLADIARIAE SP.,6.366666666666667
1603,BLOWFISH,6.333333333333333
1604,LARGE-SIZE 'OITHONA-ONCAEA TYPE',6.301190476190476
1605,PANPHYTOPHAGOUS COLLEMBOLA,6.226190476190477
1606,ZELOLESSICA CHEIRA,6.183778325769305
1607,PREDATORY CEPHALOPODS,6.166666666666667
1608,EUDECATOMA BIGUTTATA,6.166666666666666
1609,LITHOGNATHUS,6.166666666666665
1610,MELITA PALMATA,6.1119336219336216
1611,MUSCA DOMESTICA,6.094246031746032
1612,APHIDS (UNSPECIFIED),6.0
1613,BOTTOM NOTOTHENIDS - FRY OF TREMATOMUS,6.0
1614,DECOMPOSING SOIL FAUNA,6.0
1615,GELECHIID SP. B,6.0
1616,ICHNEUMONIDS (UNSPECIFIED),6.0
1617,LESTODIPLOSIS SP.,6.0
1618,LITTORINA - TEGULA,6.0
1619,LITTORINA LITTOREA - ONOBA,6.0
1620,MYTILUS - BALANUS,6.0
1621,OPIUS SP.1,6.0
1622,OTHER BENTHOS,6.0
1623,PREDATORY PLANKTONIC INVERTEBRATES,6.0
1624,RHAPALOMYIA SP.,6.0
1625,SAPROVORES,6.0
1626,SPHEX SABULOSA,6.0
1627,ARYTAINA SPARTII GUERIN-MEMEVILLE,5.967857142857142
1628,LITTORINA LITTOREA FROM ROCKS,5.966666666666667
1629,LITTORINA LITTOREA FROM Z. MARINA,5.966666666666667
1630,KANGAROO RATS,5.916666666666666
1631,MERGUS SERRATOR,5.911507936507936
1632,BLUE CRABS,5.875
1633,LACCORNIS,5.860420164797913
1634,SMALL CILIATES (BACTERIVORE - OMNIVORE),5.800000000000001
1635,DEPB4: ECHINODERMS,5.667360417360418
1636,HALYSTINUS OBSCURUS (MARSH.),5.666666666666667
1637,MEGISTHANUS SP.,5.666666666666665
1638,PYGOSPIO ELEGANS,5.660714285714286
1639,SYNERGUS NERVOSUS,5.656061656061656
1640,NORTHERN EIDER - LONG-TAILED DUCK - RED -THROATED DIVER,5.633333333333334
1641,BANANAQUIT,5.600000000000002
1642,HETEROCORDYLUS TIBIALIS (HAHN),5.577380952380952
1643,ILYBIUS,5.576040971479966
1644,COLONIAL SESSILE INVERTEBRATES,5.517156862745098
1645,CHITONS,5.5
1646,INSECTS (MATURE FOREST),5.5
1647,ISOPODS - GAMMARUS - CAPRELLA,5.5
1648,LITTORINA LITTOREA - L. OBTUSATA - L. SAXATILIS,5.5
1649,MACROCHELUS SP.,5.475
1650,PARASITUS SP.,5.475
1651,ORCHYMONTIA SP.,5.466666666666667
1652,LEPIDOPTERA,5.416666666666666
1653,MYTILUS - GEMMA,5.41025641025641
1654,BRITTLESTARS,5.399499431994179
1655,HUDSONEMA AMABILIS (MCLACHLAN),5.362476883092539
1656,OPIUS SP.11,5.333333333333334
1657,YOUNG CHIRONOMIDS,5.333333333333333
1658,BAETIS SPP. NYMPHS,5.283333333333333
1659,MZ: MICRO-ZOOPLANKTON,5.274074074074074
1660,LEPIDOPTERA ADULT,5.25
1661,LARUS CANUS,5.247619047619048
1662,STERNA PARADISAEA,5.247619047619048
1663,ERIOPTERINI SP.,5.196912190982434
1664,HERBIVOROUS FISHES,5.166666666666666
1665,RHABDOSARGUS,5.166666666666666
1666,PSILACHOREMA BIDENS ,5.1076181576816095
1667,OLIGOCHAETA TYPE III,5.0812848262848265
1668,SPHAERIUM SPP.,5.076923076923077
1669,NR. HALOCLADIUS SP. (DIPTERA - CHIRONOMIDAE),5.076190476190475
1670,PLNKF1B: SHAD,5.0091040902259
1671,ASTROMETIS SERTULIFERA,5.0
1672,CALLIPHORA SP. LARVAE,5.0
1673,DASYHELEA,5.0
1674,EUCALIA INCONSTANS,5.0
1675,FISH (SCIAENA - UMBRINA - POLYNEMUS),5.0
1676,H. SEGMENTARIA LARVAE,5.0
1677,HYDROTAEA ARMIPES LARVAE,5.0
1678,MICROCYCLOPS NYASAE,5.0
1679,RABBITS,5.0
1680,CLANGULA HYEMALIS,4.997619047619048
1681,CHIRONOMUS SP. (DIPTERA - CHIRONOMIDAE),4.942857142857143
1682,PTARMIGAN,4.833333333333333
1683,TANYTARSINI II,4.81882561882562
1684,LEUCTRA NIGRA,4.752020202020201
1685,NEMURELLA PICTETI,4.752020202020201
1686,POLYPEDILUM ALBICORNIS,4.752020202020201
1687,CAENIS RIVULORUM,4.648809523809524
1688,LIMACINA,4.616666666666667
1689,CRYPTOCHIRONOMUS,4.6158730158730155
1690,PYGMY NUTHATCH - AUDUBON WARBLER,4.583333333333333
1691,CATFISH AND STINGRAYS,4.555555555555556
1692,FINGERLING FISHES,4.519047619047619
1693,PLOESOMA,4.515873015873016
1694,CALLIANASSA (DECAPOD - LOBSTER),4.5
1695,GAMMARUS (AMPHIPOD),4.5
1696,"MICROORGANISMS (BACTERIA, PROTOZOA, YEAST)",4.5
1697,SAPRINUS DISCOIDALIS,4.5
1698,SHOREBIRDS,4.5
1699,GASTROPUS STYLIFER,4.491666666666667
1700,BRUCHIDIUS ATER (MARSHAM),4.452380952380952
1701,LEPIDOCYRTUS CYANEUS,4.428571428571429
1702,PSEUDISTOMA SENSIBILIS,4.428571428571429
1703,PLNKF3: MESOPELAGIC FISH AGGREGATE,4.425299345056143
1704,HYALLELLA AZTECA,4.4
1705,S. REINHARDI,4.348509598509599
1706,DIPTERAN LARVAE AND PUPAE (AND OTHER AQUATIC INSECTS),4.333333333333333
1707,MYA - ENSIS - MACOMA - SOLEMYA,4.333333333333333
1708,BRONTES DUBIUS LARVAE,4.309523809523809
1709,CYNIPS LONGIVENTRIS,4.302093402093402
1710,TALITRIDS (AMPHIPODS),4.266666666666667
1711,NEPHTHYS SPP.,4.247647907647908
1712,PINIRAMPUS PIRINAMPU,4.233333333333333
1713,EPHEMERELLA IGNITA,4.19047619047619
1714,PLNKF4: PLANKTIVOROUS ROCKFISH,4.188962140572578
1715,ACRUROPERLA ATRA (PISCES - AUSTROPERLIDAE),4.18859649122807
1716,EPHEMERA NYMPH,4.142857142857142
1717,EUKIEFIDRIELLA,4.1033824127228815
1718,BACKBIRDS - MOCKINGBIRD - ORIOLE - CARDINAL,4.083333333333333
1719,BNTHF3: BENTHIVOROUS ROCKFISH,4.075481748415715
1720,TALORCHESTIA,4.04
1721,HYDROPSYCHE LARVAE,4.033333333333333
1722,ZEALANDOPERLA/ACROPERLA SP.,4.029079126861498
1723,ANATOPYNIA SP.,4.0
1724,APHIDOPHAGOUS PREDATOR (PARASYRPHUS TARSATUS),4.0
1725,BACTERIAL AND FUNGAL FEEDERS,4.0
1726,CLINODIPLOSIS SAROTHAMNI KIEFFER,4.0
1727,CODONELLA - VORTICELLA,4.0
1728,COTTUS BAIRDII,4.0
1729,FLATHEAD,4.0
1730,INSECTS (FOREST EDGE),4.0
1731,LING,4.0
1732,PALO VERDE WEEVIL,4.0
1733,PRIONOCYPHON NIGER (SCIRTIDAE),4.0
1734,PRIONOCYPHON SP.,4.0
1735,PTEZODORATUS LITURATUS FABRICIUS,4.0
1736,PURPURA PATULA,4.0
1737,SCOMBER - CLUPEA,4.0
1738,TIVELA STULTORUM,4.0
1739,ZOOPLANKTON (E.G. - ADULT THERMOCYCLOPS HYALINUS),4.0
1740,N. ALBIPES,3.944444444444444
1741,HALTERIA,3.8827586206896543
1742,MICROTINE MAMMALS,3.8333333333333335
1743,PRAIRIE VOLE,3.8333333333333335
1744,AEDES CANDIDOSCUTELLUM,3.833333333333333
1745,AEDES SP. 22,3.833333333333333
1746,DAPHNIA - DIAPHANOSOMA - CERIODAPHNIA,3.833333333333333
1747,H. PLATYRHYNCHUS,3.833333333333333
1748,13-STRIPED SPERMOPHILE (GROUND SQUIRREL),3.75
1749,GERBILS - HARES,3.75
1750,HYDROPORUS ERYTHROCEPHALUS,3.7297008547008543
1751,COCHLIOMYIA MACELLARIA,3.673611111111111
1752,ECHINOSTOMA SP. (ADULT),3.6666666666666665
1753,RIBEIROIA ONDATRAE (ADULT),3.6666666666666665
1754,CHIRONOMIDAE SP. (CHIRONOMIDAE - DIPTERA),3.631453634085213
1755,BNTHF1: SKATES & RAYS,3.6235764468317098
1756,BRACON SP.9,3.5
1757,CARIDINA NILOTICA,3.5
1758,CHIRONOMUS,3.5
1759,CLAM,3.5
1760,ELASMUS SP.A,3.5
1761,INTERTIDAL AND MARINE INVERTEBRATES,3.5
1762,URANOTAENIA - TRIPTEROIDES (3 SPP.),3.5
1763,NEUROTERUS QUERCUS-BACCARUM,3.4996639996639995
1764,GRASSQUIT,3.4666666666666663
1765,DAPHNIA ROSEA,3.4583333333333335
1766,DOVES - PALMER'S THRASHER - SAGE SPARROW - LARK BUNTING - HOUSE FINCH - GOLDFINCH - GAMBEL SPARROW,3.416666666666666
1767,LEPIDURUS,3.4000000000000004
1768,ZELANOPERLA,3.3369047619047616
1769,ORCHYMONTIA SP. ,3.322151296993111
1770,RANATRA,3.3125551031729508
1771,BRILLIA MODESTA,3.3075757575757576
1772,SMALL ZOOPLANKTON,3.2857142857142856
1773,PISCF3A: JACK MACKEREL,3.2826930446268907
1774,HYDRAENA ORCHYMONTIA,3.2738011172833694
1775,FLIES - DERMESTES - CALLIPHORA - PHALERIA (CARRION BEETLES AND FLIES),3.2666666666666666
1776,DASYHELEA NEPENTHICOLA,3.2
1777,B. PUMILUS,3.1888888888888887
1778,B. RHODANI,3.1888888888888887
1779,BAETIS BINOCULATUS,3.1888888888888887
1780,AGELAIUS PHOENICEUS,3.1860153256704984
1781,TACHYCINETA BICOLOR,3.1860153256704984
1782,SB7: COASTAL SEABIRDS (DIVERS),3.183333333333333
1783,EUCYCLOPS SP. (COPEPODA),3.181453634085213
1784,ANTELOPES - GAZELLE - BACKBUCK - NILGAI,3.1666666666666665
1785,GROUND INVERTEBRATES,3.1666666666666665
1786,PISCF1C: OTHER SALMON AGGREGATE,3.0882396989246157
1787,BRACON SP.12,3.083333333333333
1788,HUDSONEMA AMIBILIS,3.0537518037518034
1789,CHIRONOMIDAE (MICROTENDIPES - TANYTARSUS - PSEUDOCHIRONOMUS - LIMNOCHIRONOMUS),3.0416666666666665
1790,HOLOCENTROPUS PICICORNIS (STEPHENS),3.0206099456099453
1791,ARRHENURUS SP. (ARRHENURIDAE),3.0
1792,ATLIDES HALESUS,3.0
1793,AUSTROMENIDIA AND ENGRAULIS (FISH),3.0
1794,BAY SHRIMP,3.0
1795,C. PINEA,3.0
1796,CHESIAS LEGATELLA (SCHIEFFERMUELLER),3.0
1797,CONTARINIA PULCHRIPES (KIEFFER),3.0
1798,CULICOIDES ANGULARIS,3.0
1799,CYZENIS,3.0
1800,DICERA - SAPERDA,3.0
1801,DONAX,3.0
1802,LANDFLIES - ADULT CHIRONOMIDS - ACHORUTES,3.0
1803,LUMBRICULIID TYPE 'I',3.0
1804,LUMBRINEREIS - CLYMENELLA,3.0
1805,MICROLITIS FORDI NIXON,3.0
1806,MICROORGANISMS,3.0
1807,MINNOW 1,3.0
1808,NEREIS GRUBEI,3.0
1809,OPIUS SP.5,3.0
1810,ORIUS INSIDIOSUS,3.0
1811,PLATYGASTER SP.,3.0
